"grantee","table_schema","table_name","privilege_type"
"pg_read_all_stats","pg_catalog","pg_backend_memory_contexts","SELECT"
"pg_read_all_stats","pg_catalog","pg_shmem_allocations","SELECT"
"alex.feng@databricks.com","public","databricks_synced_table_managers","INSERT"
"alex.feng@databricks.com","public","databricks_synced_table_managers","SELECT"
"alex.feng@databricks.com","public","databricks_synced_table_managers","UPDATE"
"alex.feng@databricks.com","public","databricks_synced_table_managers","DELETE"
"alex.feng@databricks.com","public","databricks_list_roles","INSERT"
"alex.feng@databricks.com","public","databricks_list_roles","SELECT"
"alex.feng@databricks.com","public","databricks_list_roles","UPDATE"
"alex.feng@databricks.com","public","databricks_list_roles","DELETE"
"alex.feng@databricks.com","public","databricks_auth_metrics","INSERT"
"alex.feng@databricks.com","public","databricks_auth_metrics","SELECT"
"alex.feng@databricks.com","public","databricks_auth_metrics","UPDATE"
"alex.feng@databricks.com","public","databricks_auth_metrics","DELETE"
"databricks_superuser","public","databricks_synced_table_managers","INSERT"
"databricks_superuser","public","databricks_synced_table_managers","SELECT"
"databricks_superuser","public","databricks_synced_table_managers","UPDATE"
"databricks_superuser","public","databricks_synced_table_managers","DELETE"
"databricks_superuser","public","databricks_synced_table_managers","TRUNCATE"
"databricks_superuser","public","databricks_synced_table_managers","REFERENCES"
"databricks_superuser","public","databricks_synced_table_managers","TRIGGER"
"databricks_superuser","public","databricks_list_roles","INSERT"
"databricks_superuser","public","databricks_list_roles","SELECT"
"databricks_superuser","public","databricks_list_roles","UPDATE"
"databricks_superuser","public","databricks_list_roles","DELETE"
"databricks_superuser","public","databricks_list_roles","TRUNCATE"
"databricks_superuser","public","databricks_list_roles","REFERENCES"
"databricks_superuser","public","databricks_list_roles","TRIGGER"
"databricks_superuser","public","databricks_auth_metrics","INSERT"
"databricks_superuser","public","databricks_auth_metrics","SELECT"
"databricks_superuser","public","databricks_auth_metrics","UPDATE"
"databricks_superuser","public","databricks_auth_metrics","DELETE"
"databricks_superuser","public","databricks_auth_metrics","TRUNCATE"
"databricks_superuser","public","databricks_auth_metrics","REFERENCES"
"databricks_superuser","public","databricks_auth_metrics","TRIGGER"
"PUBLIC","public","databricks_synced_table_managers","SELECT"
"PUBLIC","public","databricks_list_roles","SELECT"
"PUBLIC","pg_catalog","pg_type","SELECT"
"PUBLIC","pg_catalog","pg_foreign_table","SELECT"
"PUBLIC","pg_catalog","pg_roles","SELECT"
"PUBLIC","pg_catalog","pg_settings","SELECT"
"PUBLIC","pg_catalog","pg_settings","UPDATE"
"PUBLIC","pg_catalog","pg_tables","SELECT"
"PUBLIC","pg_catalog","pg_statio_all_sequences","SELECT"
"PUBLIC","pg_catalog","pg_attribute","SELECT"
"PUBLIC","pg_catalog","pg_proc","SELECT"
"PUBLIC","pg_catalog","pg_class","SELECT"
"PUBLIC","pg_catalog","pg_attrdef","SELECT"
"PUBLIC","pg_catalog","pg_statio_sys_sequences","SELECT"
"PUBLIC","pg_catalog","pg_statio_user_sequences","SELECT"
"PUBLIC","pg_catalog","pg_constraint","SELECT"
"PUBLIC","pg_catalog","pg_inherits","SELECT"
"PUBLIC","pg_catalog","pg_index","SELECT"
"PUBLIC","pg_catalog","pg_operator","SELECT"
"PUBLIC","pg_catalog","pg_opfamily","SELECT"
"PUBLIC","pg_catalog","pg_opclass","SELECT"
"PUBLIC","pg_catalog","pg_am","SELECT"
"PUBLIC","pg_catalog","pg_amop","SELECT"
"PUBLIC","pg_catalog","pg_amproc","SELECT"
"PUBLIC","pg_catalog","pg_language","SELECT"
"PUBLIC","pg_catalog","pg_largeobject_metadata","SELECT"
"PUBLIC","pg_catalog","pg_aggregate","SELECT"
"PUBLIC","pg_catalog","pg_statistic_ext","SELECT"
"PUBLIC","pg_catalog","pg_rewrite","SELECT"
"PUBLIC","pg_catalog","pg_trigger","SELECT"
"PUBLIC","pg_catalog","pg_event_trigger","SELECT"
"PUBLIC","pg_catalog","pg_description","SELECT"
